zipcode,year,UCR_PART,crime_rate
02026,2015,Other,0.0001
02026,2015,"Part One",0.0019
02026,2015,"Part Three",0.0037
02026,2015,"Part Two",0.0028
02026,2016,"Part One",0.0023
02026,2016,"Part Three",0.0078
02026,2016,"Part Two",0.0057
02026,2017,Other,0.0001
02026,2017,"Part One",0.0027
02026,2017,"Part Three",0.0100
02026,2017,"Part Two",0.0043
02026,2018,"Part One",0.0021
02026,2018,"Part Three",0.0076
02026,2018,"Part Two",0.0038
02108,2015,Other,0.0002
02108,2015,"Part One",0.0301
02108,2015,"Part Three",0.0529
02108,2015,"Part Two",0.0366
02108,2016,Other,0.0005
02108,2016,"Part One",0.0511
02108,2016,"Part Three",0.1099
02108,2016,"Part Two",0.0704
02108,2017,"Part One",0.0491
02108,2017,"Part Three",0.1010
02108,2017,"Part Two",0.0543
02108,2018,"Part One",0.0284
02108,2018,"Part Three",0.0699
02108,2018,"Part Two",0.0482
02109,2015,Other,0.0005
02109,2015,"Part One",0.0625
02109,2015,"Part Three",0.1183
02109,2015,"Part Two",0.0879
02109,2016,Other,0.0020
02109,2016,"Part One",0.1123
02109,2016,"Part Three",0.2244
02109,2016,"Part Two",0.1362
02109,2017,Other,0.0020
02109,2017,"Part One",0.1171
02109,2017,"Part Three",0.2518
02109,2017,"Part Two",0.1357
02109,2018,Other,0.0002
02109,2018,"Part One",0.0964
02109,2018,"Part Three",0.1923
02109,2018,"Part Two",0.1031
02110,2015,Other,0.0005
02110,2015,"Part One",0.1549
02110,2015,"Part Three",0.1314
02110,2015,"Part Two",0.1276
02110,2016,Other,0.0019
02110,2016,"Part One",0.2556
02110,2016,"Part Three",0.2302
02110,2016,"Part Two",0.1973
02110,2017,Other,0.0009
02110,2017,"Part One",0.2674
02110,2017,"Part Three",0.2825
02110,2017,"Part Two",0.1902
02110,2018,Other,0.0005
02110,2018,"Part One",0.1911
02110,2018,"Part Three",0.2039
02110,2018,"Part Two",0.1497
02111,2015,Other,0.0003
02111,2015,"Part One",0.0341
02111,2015,"Part Three",0.0565
02111,2015,"Part Two",0.0493
02111,2016,Other,0.0005
02111,2016,"Part One",0.0570
02111,2016,"Part Three",0.1039
02111,2016,"Part Two",0.0724
02111,2017,Other,0.0007
02111,2017,"Part One",0.0514
02111,2017,"Part Three",0.0919
02111,2017,"Part Two",0.0730
02111,2018,Other,0.0003
02111,2018,"Part One",0.0333
02111,2018,"Part Three",0.0586
02111,2018,"Part Two",0.0468
02113,2015,Other,0.0001
02113,2015,"Part One",0.0103
02113,2015,"Part Three",0.0184
02113,2015,"Part Two",0.0108
02113,2016,Other,0.0001
02113,2016,"Part One",0.0171
02113,2016,"Part Three",0.0364
02113,2016,"Part Two",0.0195
02113,2017,Other,0.0003
02113,2017,"Part One",0.0161
02113,2017,"Part Three",0.0466
02113,2017,"Part Two",0.0184
02113,2018,Other,0.0001
02113,2018,"Part One",0.0155
02113,2018,"Part Three",0.0379
02113,2018,"Part Two",0.0159
02114,2015,Other,0.0002
02114,2015,"Part One",0.0112
02114,2015,"Part Three",0.0195
02114,2015,"Part Two",0.0080
02114,2016,"Part One",0.0151
02114,2016,"Part Three",0.0385
02114,2016,"Part Two",0.0143
02114,2017,Other,0.0002
02114,2017,"Part One",0.0152
02114,2017,"Part Three",0.0357
02114,2017,"Part Two",0.0144
02114,2018,"Part One",0.0117
02114,2018,"Part Three",0.0251
