zipcode,year_,quarter_,violent_crime_rate,non_violent_crime_rate
02026,2015,2,0.0002,0.0007
02026,2015,3,0.0008,0.0031
02026,2015,4,0.0009,0.0028
02026,2016,1,0.0004,0.0028
02026,2016,2,0.0006,0.0035
02026,2016,3,0.0007,0.0030
02026,2016,4,0.0006,0.0042
02026,2017,1,0.0006,0.0033
02026,2017,2,0.0004,0.0031
02026,2017,3,0.0011,0.0041
02026,2017,4,0.0006,0.0039
02026,2018,1,0.0004,0.0037
02026,2018,2,0.0009,0.0031
02026,2018,3,0.0007,0.0047
02026,2018,4,0.0000,0.0000
02108,2015,2,0.0027,0.0047
02108,2015,3,0.0143,0.0482
02108,2015,4,0.0131,0.0368
02108,2016,1,0.0101,0.0445
02108,2016,2,0.0156,0.0499
02108,2016,3,0.0128,0.0440
02108,2016,4,0.0126,0.0425
02108,2017,1,0.0141,0.0351
02108,2017,2,0.0126,0.0361
02108,2017,3,0.0138,0.0454
02108,2017,4,0.0086,0.0388
02108,2018,1,0.0072,0.0257
02108,2018,2,0.0101,0.0445
02108,2018,3,0.0109,0.0467
02108,2018,4,0.0002,0.0012
02109,2015,2,0.0032,0.0172
02109,2015,3,0.0316,0.1024
02109,2015,4,0.0276,0.0872
02109,2016,1,0.0234,0.0852
02109,2016,2,0.0264,0.0971
02109,2016,3,0.0296,0.1036
02109,2016,4,0.0329,0.0767
02109,2017,1,0.0244,0.0849
02109,2017,2,0.0254,0.0956
02109,2017,3,0.0364,0.1036
02109,2017,4,0.0309,0.1054
02109,2018,1,0.0209,0.0941
02109,2018,2,0.0279,0.1026
02109,2018,3,0.0471,0.0974
02109,2018,4,0.0005,0.0015
02110,2015,2,0.0042,0.0188
02110,2015,3,0.0744,0.1135
02110,2015,4,0.0763,0.1271
02110,2016,1,0.0593,0.1064
02110,2016,2,0.0565,0.0904
02110,2016,3,0.0720,0.1285
02110,2016,4,0.0678,0.1040
02110,2017,1,0.0579,0.1050
02110,2017,2,0.0678,0.1304
02110,2017,3,0.0786,0.1243
02110,2017,4,0.0631,0.1139
02110,2018,1,0.0631,0.1144
02110,2018,2,0.0574,0.1196
02110,2018,3,0.0669,0.1172
02110,2018,4,0.0038,0.0028
02111,2015,2,0.0030,0.0069
02111,2015,3,0.0152,0.0471
02111,2015,4,0.0159,0.0521
02111,2016,1,0.0115,0.0449
02111,2016,2,0.0126,0.0406
02111,2016,3,0.0151,0.0436
02111,2016,4,0.0178,0.0477
02111,2017,1,0.0135,0.0370
02111,2017,2,0.0119,0.0418
02111,2017,3,0.0130,0.0485
02111,2017,4,0.0131,0.0382
02111,2018,1,0.0098,0.0354
02111,2018,2,0.0120,0.0354
02111,2018,3,0.0115,0.0336
02111,2018,4,0.0000,0.0012
02113,2015,2,0.0015,0.0024
02113,2015,3,0.0053,0.0137
02113,2015,4,0.0035,0.0132
02113,2016,1,0.0036,0.0132
02113,2016,2,0.0040,0.0132
02113,2016,3,0.0059,0.0176
02113,2016,4,0.0036,0.0120
02113,2017,1,0.0037,0.0117
02113,2017,2,0.0033,0.0181
02113,2017,3,0.0049,0.0179
02113,2017,4,0.0041,0.0175
02113,2018,1,0.0045,0.0151
02113,2018,2,0.0048,0.0191
02113,2018,3,0.0060,0.0191
02113,2018,4,0.0001,0.0007
02114,2015,2,0.0010,0.0028
02114,2015,3,0.0050,0.0115
02114,2015,4,0.0052,0.0134
02114,2016,1,0.0036,0.0113
02114,2016,2,0.0048,0.0144
02114,2016,3,0.0042,0.0145
02114,2016,4,0.0025,0.0127
02114,2017,1,0.0028,0.0119
02114,2017,2,0.0035,0.0122
02114,2017,3,0.0055,0.0147
02114,2017,4,0.0033,0.0115
02114,2018,1,0.0034,0.0097
02114,2018,2,0.0035,0.0142
02114,2018,3,0.0047,0.0128
02114,2018,4,0.0002,0.0002
02115,2015,2,0.0009,0.0014
02115,2015,3,0.0066,0.0101
02115,2015,4,0.0063,0.0092
02115,2016,1,0.0047,0.0098
02115,2016,2,0.0051,0.0111
02115,2016,3,0.0055,0.0126
02115,2016,4,0.0039,0.0093
02115,2017,1,0.0026,0.0088
02115,2017,2,0.0042,0.0110
02115,2017,3,0.0049,0.0113
02115,2017,4,0.0035,0.0088
02115,2018,1,0.0035,0.0081
02115,2018,2,0.0053,0.0125
02115,2018,3,0.0052,0.0128
02115,2018,4,0.0001,0.0005
02116,2015,2,0.0018,0.0029
02116,2015,3,0.0099,0.0173
02116,2015,4,0.0106,0.0166
02116,2016,1,0.0084,0.0156
02116,2016,2,0.0075,0.0180
02116,2016,3,0.0087,0.0182
02116,2016,4,0.0090,0.0171
02116,2017,1,0.0079,0.0163
02116,2017,2,0.0084,0.0171
02116,2017,3,0.0080,0.0173
02116,2017,4,0.0075,0.0163
02116,2018,1,0.0064,0.0162
02116,2018,2,0.0066,0.0166
02116,2018,3,0.0076,0.0166
02116,2018,4,0.0002,0.0004
02117,2015,2,0.0783,0.0581
02117,2015,3,0.2652,0.3081
02117,2015,4,0.2601,0.3561
02117,2016,1,0.2020,0.2247
02117,2016,2,0.1793,0.2298
02117,2016,3,0.2525,0.3106
02117,2016,4,0.2172,0.2980
02117,2017,1,0.1439,0.2146
02117,2017,2,0.1818,0.2778
02117,2017,3,0.2247,0.3384
02117,2017,4,0.1919,0.2803
02117,2018,1,0.1919,0.2601
02117,2018,2,0.1818,0.3005
02117,2018,3,0.2879,0.2576
02117,2018,4,0.0025,0.0101
02118,2015,2,0.0029,0.0068
02118,2015,3,0.0141,0.0394
02118,2015,4,0.0131,0.0393
02118,2016,1,0.0099,0.0365
02118,2016,2,0.0098,0.0360
02118,2016,3,0.0114,0.0358
02118,2016,4,0.0107,0.0390
02118,2017,1,0.0097,0.0395
02118,2017,2,0.0113,0.0387
02118,2017,3,0.0127,0.0461
02118,2017,4,0.0098,0.0380
02118,2018,1,0.0087,0.0369
02118,2018,2,0.0119,0.0423
02118,2018,3,0.0122,0.0425
02118,2018,4,0.0003,0.0013
02119,2015,2,0.0030,0.0103
02119,2015,3,0.0148,0.0550
02119,2015,4,0.0132,0.0556
02119,2016,1,0.0101,0.0531
02119,2016,2,0.0112,0.0576
02119,2016,3,0.0131,0.0574
02119,2016,4,0.0123,0.0542
02119,2017,1,0.0102,0.0574
02119,2017,2,0.0124,0.0629
02119,2017,3,0.0128,0.0641
02119,2017,4,0.0091,0.0630
02119,2018,1,0.0091,0.0536
02119,2018,2,0.0119,0.0623
02119,2018,3,0.0128,0.0627
02119,2018,4,0.0006,0.0018
02120,2015,2,0.0016,0.0059
02120,2015,3,0.0101,0.0298
02120,2015,4,0.0079,0.0294
02120,2016,1,0.0070,0.0302
02120,2016,2,0.0079,0.0315
02120,2016,3,0.0080,0.0279
02120,2016,4,0.0064,0.0313
02120,2017,1,0.0053,0.0315
02120,2017,2,0.0070,0.0317
02120,2017,3,0.0088,0.0311
02120,2017,4,0.0056,0.0241
02120,2018,1,0.0044,0.0277
02120,2018,2,0.0052,0.0251
02120,2018,3,0.0052,0.0250
02120,2018,4,0.0001,0.0010
02121,2015,2,0.0019,0.0089
02121,2015,3,0.0133,0.0531
02121,2015,4,0.0130,0.0498
02121,2016,1,0.0083,0.0504
02121,2016,2,0.0112,0.0531
02121,2016,3,0.0105,0.0511
02121,2016,4,0.0105,0.0495
02121,2017,1,0.0095,0.0475
02121,2017,2,0.0093,0.0583
02121,2017,3,0.0107,0.0521
02121,2017,4,0.0106,0.0476
02121,2018,1,0.0093,0.0478
02121,2018,2,0.0104,0.0549
02121,2018,3,0.0098,0.0499
02121,2018,4,0.0003,0.0017
02122,2015,2,0.0024,0.0100
02122,2015,3,0.0119,0.0609
02122,2015,4,0.0092,0.0557
02122,2016,1,0.0097,0.0608
02122,2016,2,0.0120,0.0623
02122,2016,3,0.0105,0.0665
02122,2016,4,0.0129,0.0551
02122,2017,1,0.0112,0.0605
02122,2017,2,0.0112,0.0656
02122,2017,3,0.0107,0.0640
02122,2017,4,0.0112,0.0565
02122,2018,1,0.0077,0.0476
02122,2018,2,0.0124,0.0608
02122,2018,3,0.0116,0.0554
02122,2018,4,0.0002,0.0023
02124,2015,2,0.0008,0.0028
02124,2015,3,0.0036,0.0167
02124,2015,4,0.0036,0.0169
02124,2016,1,0.0028,0.0167
02124,2016,2,0.0030,0.0182
02124,2016,3,0.0030,0.0191
02124,2016,4,0.0029,0.0176
02124,2017,1,0.0027,0.0180
02124,2017,2,0.0029,0.0185
02124,2017,3,0.0031,0.0190
02124,2017,4,0.0029,0.0180
02124,2018,1,0.0018,0.0165
02124,2018,2,0.0030,0.0201
02124,2018,3,0.0025,0.0178
02124,2018,4,0.0002,0.0004
02125,2015,2,0.0008,0.0026
02125,2015,3,0.0042,0.0154
02125,2015,4,0.0035,0.0158
02125,2016,1,0.0039,0.0167
02125,2016,2,0.0049,0.0182
02125,2016,3,0.0041,0.0162
02125,2016,4,0.0044,0.0160
02125,2017,1,0.0032,0.0153
02125,2017,2,0.0034,0.0153
02125,2017,3,0.0041,0.0171
02125,2017,4,0.0040,0.0154
02125,2018,1,0.0028,0.0136
02125,2018,2,0.0034,0.0175
02125,2018,3,0.0044,0.0155
02125,2018,4,0.0001,0.0004
02126,2015,2,0.0014,0.0051
02126,2015,3,0.0074,0.0310
02126,2015,4,0.0075,0.0295
02126,2016,1,0.0055,0.0299
02126,2016,2,0.0082,0.0341
02126,2016,3,0.0057,0.0362
02126,2016,4,0.0065,0.0340
02126,2017,1,0.0059,0.0345
02126,2017,2,0.0057,0.0361
02126,2017,3,0.0069,0.0381
02126,2017,4,0.0062,0.0345
02126,2018,1,0.0045,0.0344
02126,2018,2,0.0062,0.0388
02126,2018,3,0.0067,0.0386
02126,2018,4,0.0003,0.0008
02127,2015,2,0.0022,0.0041
02127,2015,3,0.0089,0.0302
02127,2015,4,0.0069,0.0283
02127,2016,1,0.0058,0.0346
02127,2016,2,0.0054,0.0299
