quarter,quarter_cnt,UCR_PART,Zip
2015Q2,112,"Non Part One",1210
2015Q2,24,"Non Part One",2203
2015Q2,44,"Non Part One",2115
2015Q2,274,"Non Part One",2121
2015Q2,202,"Non Part One",2118
2015Q2,11,"Non Part One",2435
2015Q2,168,"Non Part One",2124
2015Q2,44,"Non Part One",2110
2015Q2,164,"Non Part One",2126
2015Q2,17,"Non Part One",2026
2015Q2,42,"Non Part One",2137
2015Q2,124,"Non Part One",2131
2015Q2,53,"Non Part One",2129
2015Q2,175,"Non Part One",2122
2015Q2,64,"Non Part One",2134
2015Q2,13,"Non Part One",2201
2015Q2,155,"Non Part One",2130
2015Q2,35,"Non Part One",2199
2015Q2,73,"Non Part One",2109
2015Q2,30,"Non Part One",2215
2015Q2,188,"Non Part One",2119
2015Q2,105,"Non Part One",2127
2015Q2,98,"Non Part One",2125
2015Q2,48,"Non Part One",2132
2015Q2,56,"Non Part One",2150
2015Q2,8,"Non Part One",2171
2015Q2,20,"Non Part One",2445
2015Q2,26,"Non Part One",2128
2015Q2,19,"Non Part One",2113
2015Q2,10,"Non Part One",2141
2015Q2,78,"Non Part One",2136
2015Q2,94,"Non Part One",2135
2015Q2,4,"Non Part One",2205
2015Q2,46,"Non Part One",2114
2015Q2,38,"Non Part One",1125
2015Q2,99,"Non Part One",2120
2015Q2,74,"Non Part One",2116
2015Q2,21,"Non Part One",2186
2015Q2,68,"Non Part One",2111
2015Q2,23,"Non Part One",2117
2015Q2,14,"Non Part One",2222
2015Q2,34,"Non Part One",2210
2015Q2,7,"Non Part One",2107
2015Q2,2,"Non Part One",2446
2015Q2,9,"Non Part One",2152
2015Q2,21,"Non Part One",2108
2015Q2,9,"Non Part One",2151
2015Q2,12,"Non Part One",2284
2015Q3,607,"Non Part One",2125
2015Q3,1623,"Non Part One",2121
2015Q3,200,"Non Part One",2137
2015Q3,481,"Non Part One",2135
2015Q3,632,"Non Part One",1210
2015Q3,1096,"Non Part One",2122
2015Q3,420,"Non Part One",2116
2015Q3,413,"Non Part One",2150
2015Q3,438,"Non Part One",2109
2015Q3,990,"Non Part One",2126
2015Q3,630,"Non Part One",2131
2015Q3,1226,"Non Part One",2118
2015Q3,104,"Non Part One",2113
2015Q3,499,"Non Part One",2120
2015Q3,467,"Non Part One",2134
2015Q3,973,"Non Part One",2124
2015Q3,125,"Non Part One",2203
2015Q3,403,"Non Part One",2136
2015Q3,752,"Non Part One",2127
2015Q3,62,"Non Part One",2171
2015Q3,337,"Non Part One",2132
2015Q3,1062,"Non Part One",2119
2015Q3,301,"Non Part One",2115
2015Q3,437,"Non Part One",2111
2015Q3,102,"Non Part One",2445
2015Q3,211,"Non Part One",2199
2015Q3,338,"Non Part One",2129
2015Q3,173,"Non Part One",2210
2015Q3,1044,"Non Part One",2130
2015Q3,58,"Non Part One",2141
2015Q3,162,"Non Part One",2114
2015Q3,219,"Non Part One",2108
2015Q3,106,"Non Part One",2284
2015Q3,267,"Non Part One",2110
2015Q3,123,"Non Part One",2201
2015Q3,55,"Non Part One",2435
2015Q3,177,"Non Part One",2215
2015Q3,279,"Non Part One",1125
2015Q3,120,"Non Part One",2186
2015Q3,199,"Non Part One",2128
2015Q3,2,"Non Part One",2133
2015Q3,75,"Non Part One",2152
2015Q3,99,"Non Part One",2222
2015Q3,126,"Non Part One",2117
2015Q3,72,"Non Part One",2026
2015Q3,53,"Non Part One",2107
2015Q3,45,"Non Part One",2205
2015Q3,45,"Non Part One",2151
2015Q3,7,"Non Part One",2145
2015Q3,12,"Non Part One",2446
2015Q4,404,"Non Part One",2116
2015Q4,704,"Non Part One",2127
2015Q4,143,"Non Part One",2117
2015Q4,993,"Non Part One",2124
2015Q4,575,"Non Part One",1210
2015Q4,1019,"Non Part One",2122
