Neighborhood,Crime Rate By Neighborhood
Winthrop,0.01859883
West Roxbury,0.045065743
Somerville,0.001317004
Roxbury Crossing,0.111995823
Roxbury,0.217792741
Roslindale,0.076034382
Revere,0.003035632
Quincy,0.013190995
Milton,0.014917188
Mattapan,0.127899496
Jamaica Plain,0.104264167
Hyde Park,0.048863422
Dorchester Center,0.0636732
Dorchester,0.200718272
Dedham,0.01312841
Chelsea,0.038150221
Charlestown,0.066943322
Cambridge,0.025896888
Brookline,0.008825912
Brighton,0.049459433
Boston,0.090817653
Allston,0.100664848
