Neighborhood,UCR part1 rate,UCR part3 rate,Avg. Crime Rate By Neighborhood
Winthrop,0.003102743,0.010524646,0.01859883
West Roxbury,0.006865899,0.02784356,0.045065743
Somerville,0.000410162,0.001025405,0.001317004
Roxbury Crossing,0.023626159,0.064955619,0.111995823
Roxbury,0.041107965,0.116966247,0.217792741
Roslindale,0.013563265,0.04588866,0.076034382
Revere,0.00038507,0.002002362,0.003035632
Quincy,0.003692834,0.006450365,0.013190995
Milton,0.002906658,0.009167855,0.014917188
Mattapan,0.022374793,0.076749856,0.127899496
Jamaica Plain,0.0243158,0.05732399,0.104264167
Hyde Park,0.007154776,0.030484541,0.048863422
Dorchester Center,0.011470355,0.037626345,0.0636732
Dorchester,0.036933283,0.118615674,0.200718272
Dedham,0.002326091,0.007526306,0.01312841
Chelsea,0.007512357,0.020941758,0.038150221
Charlestown,0.013473299,0.037921809,0.066943322
Cambridge,0.006741506,0.014492754,0.025896888
Brookline,0.001787902,0.005413094,0.008825912
Brighton,0.009392047,0.029885469,0.049459433
Boston,0.026537048,0.0452589,0.090817653
Allston,0.027048528,0.05230708,0.100664848
