Neighborhood,Crime Rate By Neighborhood
Winthrop,0.074395318
West Roxbury,0.180262972
Somerville,0.005268015
Roxbury Crossing,0.447983292
Roxbury,0.871170963
Roslindale,0.304137527
Revere,0.012142527
Quincy,0.052763981
Milton,0.059668751
Mattapan,0.511597982
Jamaica Plain,0.417056669
Hyde Park,0.195453687
Dorchester Center,0.254692799
Dorchester,0.802873087
Dedham,0.052513640
Chelsea,0.152600884
Charlestown,0.267773288
Cambridge,0.103587550
Brookline,0.035303647
Brighton,0.197837731
Boston,0.363270612
Allston,0.402659393
,
